domain , hmm
https://whatsapp.com , true
https://facebook.com , true
https://myntra.com , true
https://google.com , true
https://github.com , true
https://amazon.com , true
https://flipkart.com , true
https://hp.com , true
https://dell.com , true
https://asus.com , true
https://w3logo.app.link/uM2eYg9paDb , false
http://www.nubeaccesories.com/wp-content/webmail-service.jp/ , false
https://pub-3a226c66bcda41e4bbeec4790c71c89c.r2.dev/lanx_sl1.htm , false
https://progovsolo.com/products-online/index.php/ , false
http://unbouncepages.com/dassadqw32ad12-3ad-v12-3edas-ad12-edczgsdf-adas/ , false
https://bacinopescabvicenza.it/wp-content/dhl/dhl/ , false
https://assclrvt-scvdt.com/index.php/ , false
